Accuracy,Precision Weighted,Recall Weighted,F1 Weighted,F1 Macro,model_task,model_name,MAE,RMSE,R2,Critical Precision,Critical Recall,Critical F1,ROC AUC
0.9976720328282829,0.9976838948252715,0.9976720328282829,0.9976599091705828,0.9961189733456451,Known Failure Mode Classification,Logistic Regression,,,,,,,
0.946969696969697,0.9522205364842876,0.946969696969697,0.9385662832793645,0.8886038313980046,Known Failure Mode Classification,Random Forest,,,,,,,
0.45454545454545453,0.20661157024793386,0.45454545454545453,0.2840909090909091,0.15625,Known Failure Mode Classification,Dummy Baseline,,,,,,,
,,,,,Exact RUL Regression,Random Forest,97.70952012081753,186.9682504429217,-0.5312575457368904,,,,
,,,,,Exact RUL Regression,Ridge Regression,203.4539456882797,213.0625574245422,-0.9885054462562048,,,,
,,,,,Exact RUL Regression,Linear Regression,203.5199031314547,213.16673782118912,-0.9904505457289263,,,,
,,,,,Exact RUL Regression,Dummy Baseline,343.36613888888894,354.63061042399664,-4.508900809511596,,,,
0.7608506944444444,0.8908030194481426,0.7608506944444444,0.7936315526888388,0.724761926634281,3-Class RUL Risk Classification,Random Forest,,,,,,,
0.7946469907407407,0.7568666698266993,0.7946469907407407,0.7192417359334016,0.38767567179941276,3-Class RUL Risk Classification,Logistic Regression,,,,,,,
0.1,0.01,0.1,0.018181818181818184,0.06060606060606061,3-Class RUL Risk Classification,Dummy Baseline,,,,,,,
0.7953935185185185,,,,,Critical vs Non-Critical Classification,Logistic Regression,,,,0.7911760709411758,0.9999328002150393,0.8833889629150781,0.7978112240615294
0.7256365740740741,,,,,Critical vs Non-Critical Classification,Random Forest,,,,0.9921724785255134,0.6511435163407477,0.786271999422966,0.8761366481905666
0.22494791666666666,,,,,Critical vs Non-Critical Classification,Dummy Baseline,,,,0.0,0.0,0.0,0.5
